down_blocks_0_motion_modules_0_test_sim,0.293136667,,up_blocks_0_motion_modules_2_image_sim,0.947963333,,up_blocks_3_motion_modules_0_FVD.18,93.32216667
down_blocks_0_motion_modules_1_test_sim.1,0.298696667,,up_blocks_3_motion_modules_0_image_sim,0.94786,,up_blocks_0_motion_modules_0_FVD.9,96.28826667
down_blocks_1_motion_modules_1_test_sim.3,0.30434,,up_blocks_0_motion_modules_0_image_sim,0.94704,,up_blocks_0_motion_modules_2_FVD.11,97.72313333
down_blocks_1_motion_modules_0_test_sim.2,0.305263333,,up_blocks_0_motion_modules_1_image_sim,0.94437,,up_blocks_3_motion_modules_1_FVD.19,100.0681333
up_blocks_3_motion_modules_1_test_sim.19,0.306233333,,down_blocks_3_motion_modules_0_image_sim,0.940076667,,up_blocks_0_motion_modules_1_FVD.10,101.7504333
up_blocks_3_motion_modules_2_test_sim.20,0.306593333,,up_blocks_3_motion_modules_1_image_sim,0.93846,,up_blocks_2_motion_modules_1_FVD.16,106.4554667
down_blocks_3_motion_modules_1_test_sim.7,0.307626667,,up_blocks_2_motion_modules_0_image_sim,0.938456667,,up_blocks_2_motion_modules_0_FVD.15,107.5305333
up_blocks_3_motion_modules_0_test_sim.18,0.307643333,,up_blocks_2_motion_modules_1_image_sim,0.93829,,up_blocks_2_motion_modules_2_FVD.17,108.6297
up_blocks_2_motion_modules_2_test_sim.17,0.30772,,up_blocks_2_motion_modules_2_image_sim,0.93762,,down_blocks_3_motion_modules_0_FVD.6,109.5804333
down_blocks_3_motion_modules_0_test_sim.6,0.307836667,,down_blocks_3_motion_modules_1_image_sim,0.93419,,down_blocks_3_motion_modules_1_FVD.7,119.4254667
down_blocks_2_motion_modules_1_test_sim.5,0.307853333,,up_blocks_1_motion_modules_2_image_sim,0.9283,,up_blocks_3_motion_modules_2_FVD.20,123.4497
up_blocks_0_motion_modules_0_test_sim.9,0.307946667,,up_blocks_3_motion_modules_2_image_sim,0.926626667,,up_blocks_1_motion_modules_2_FVD.14,123.6792333
mid_block_motion_modules_0_test_sim.8,0.30809,,mid_block_motion_modules_0_image_sim,0.926576667,,mid_block_motion_modules_0_FVD.8,128.3253333
up_blocks_0_motion_modules_2_test_sim.11,0.3086,,up_blocks_1_motion_modules_0_image_sim,0.924463333,,up_blocks_1_motion_modules_0_FVD.12,129.7406333
up_blocks_0_motion_modules_1_test_sim.10,0.308833333,,up_blocks_1_motion_modules_1_image_sim,0.91708,,up_blocks_1_motion_modules_1_FVD.13,131.6092
up_blocks_2_motion_modules_0_test_sim.15,0.309166667,,down_blocks_2_motion_modules_1_image_sim,0.895643333,,down_blocks_2_motion_modules_1_FVD.5,166.4541667
up_blocks_1_motion_modules_2_test_sim.14,0.309193333,,down_blocks_1_motion_modules_1_image_sim,0.88629,,down_blocks_1_motion_modules_1_FVD.3,176.0344667
up_blocks_2_motion_modules_1_test_sim.16,0.30972,,down_blocks_2_motion_modules_0_image_sim,0.876713333,,down_blocks_2_motion_modules_0_FVD.4,182.1102667
up_blocks_1_motion_modules_1_test_sim.13,0.309876667,,down_blocks_1_motion_modules_0_image_sim,0.86872,,down_blocks_1_motion_modules_0_FVD.2,193.5998333
down_blocks_2_motion_modules_0_test_sim.4,0.309906667,,down_blocks_0_motion_modules_1_image_sim,0.82726,,down_blocks_0_motion_modules_1_FVD.1,244.8595333
up_blocks_1_motion_modules_0_test_sim.12,0.310036667,,down_blocks_0_motion_modules_0_image_sim,0.791136667,,down_blocks_0_motion_modules_0_FVD,266.7808
